Feature,Score
var15,0.16977567886658795
var38,0.16859504132231404
saldo_var30,0.08122786304604486
saldo_medio_var5_hace2,0.06233766233766234
saldo_medio_var5_ult3,0.06233766233766234
saldo_medio_var5_hace3,0.0602125147579693
num_var45_hace3,0.045808736717827626
imp_op_var41_efect_ult1,0.03896103896103896
num_var22_ult3,0.03801652892561983
num_var22_ult1,0.033766233766233764
num_med_var45_ult3,0.03353010625737898
num_var22_hace3,0.02833530106257379
saldo_var5,0.025265643447461628
num_var30_0,0.017473435655253836
imp_op_var39_comer_ult1,0.014403778040141677
num_op_var41_hace2,0.013695395513577333
saldo_var37,0.011334120425029516
num_op_var41_ult1,0.010861865407319952
num_var22_hace2,0.009917355371900827
num_var4,0.008736717827626918
imp_ent_var16_ult1,0.008500590318772138
var3,0.007792207792207792
var36,0.007792207792207792
num_op_var41_efect_ult1,0.006375442739079103
ind_var8_0,0.005430932703659976
num_var30,0.005194805194805195
ind_var39_0,0.004250295159386069
saldo_var12,0.002833530106257379
ind_var12_0,0.0025974025974025974
imp_trans_var37_ult1,0.0018890200708382527
saldo_var8,0.001652892561983471
imp_var43_emit_ult1,0.001652892561983471
ind_var13_0,0.0014167650531286896
num_ent_var16_ult1,0.0014167650531286896
ind_var5_0,0.0011806375442739079
ind_var5,0.0009445100354191264
ind_var25_cte,0.0009445100354191264
saldo_var13_corto,0.0009445100354191264
saldo_var26,0.0009445100354191264
num_var43_recib_ult1,0.0009445100354191264
ind_var37_cte,0.0002361275088547816
ind_var43_recib_ult1,0.0002361275088547816
saldo_medio_var8_hace2,0.0002361275088547816
